Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Morning Star Travels,A/C Sleeper (2+1),03:40,10:00,06h 20m,500,20 Seats available,1.7,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
DNR Express,AC Sleeper (2+1),21:30,02:00,04h 30m,1099,16 Seats available,3.4,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
IRA Transports,VE A/C Sleeper (2+1),06:00,10:15,04h 15m,1199,12 Seats available,4.0,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8823,Super Luxury (Non AC Seater 2+2 Push Back),04:45,10:30,05h 45m,453,28 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8809,Super Luxury (Non AC Seater 2+2 Push Back),05:45,13:15,07h 30m,453,31 Seats available,4.5,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 48859,Super Luxury (Non AC Seater 2+2 Push Back),05:50,11:20,05h 30m,453,31 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8806,Super Luxury (Non AC Seater 2+2 Push Back),06:20,14:35,08h 15m,453,28 Seats available,4.6,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 64825,Super Luxury (Non AC Seater 2+2 Push Back),07:00,15:15,08h 15m,453,31 Seats available,4.4,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8817,Super Luxury (Non AC Seater 2+2 Push Back),07:10,15:10,08h 00m,453,29 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 64566,RAJDHANI (A.C. Semi Sleeper),09:15,18:10,08h 55m,550,31 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8818,Super Luxury (Non AC Seater 2+2 Push Back),09:20,17:10,07h 50m,453,30 Seats available,3.3,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8895,RAJDHANI (A.C. Semi Sleeper),10:00,17:45,07h 45m,550,27 Seats available,3.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 8850,Super Luxury (Non AC Seater 2+2 Push Back),11:15,20:00,08h 45m,453,30 Seats available,3.1,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 64958,Super Luxury (Non AC Seater 2+2 Push Back),14:20,20:35,06h 15m,453,31 Seats available,3.4,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 64828,Super Luxury (Non AC Seater 2+2 Push Back),16:15,22:50,06h 35m,453,30 Seats available,3.8,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 2492,Super Luxury (Non AC Seater 2+2 Push Back),17:30,01:30,08h 00m,456,31 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 64363,Super Luxury (Non AC Seater 2+2 Push Back),18:00,23:55,05h 55m,453,29 Seats available,2.3,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 2415,Super Luxury (Non AC Seater 2+2 Push Back),19:45,03:40,07h 55m,456,13 Seats available,4.0,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
Mozo travels,A/C Seater / Sleeper (2+1),22:40,05:05,06h 25m,600,30 Seats available,4.3,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,05:00,06h 30m,550,25 Seats available,3.8,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,05:00,07h 40m,495,28 Seats available,3.7,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
Mythri Tours And Travels,A/C Sleeper (2+1),23:00,04:15,05h 15m,809,25 Seats available,4.3,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),20:40,05:00,08h 20m,600,22 Seats available,3.9,Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli
TGSRTC - 7918,Super Luxury (Non AC Seater 2+2 Push Back),04:15,11:40,07h 25m,504,25 Seats available,4.3,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 1137,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),06:15,13:00,06h 45m,611,32 Seats available,4.0,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7938,RAJDHANI (A.C. Semi Sleeper),06:30,12:00,05h 30m,611,31 Seats available,3.8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7930,Super Luxury (Non AC Seater 2+2 Push Back),07:30,14:55,07h 25m,504,30 Seats available,3.9,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7928,Super Luxury (Non AC Seater 2+2 Push Back),08:30,15:55,07h 25m,504,31 Seats available,3.8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7922,Super Luxury (Non AC Seater 2+2 Push Back),10:00,17:25,07h 25m,504,43 Seats available,2.5,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7916,Lahari Non A/C Sleeper Cum Seater,10:30,17:55,07h 25m,504,41 Seats available,3.2,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7944,LAHARI A/C SLEEPER CUM SEATER,11:15,18:40,07h 25m,611,39 Seats available,2.8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7924,Super Luxury (Non AC Seater 2+2 Push Back),13:10,20:35,07h 25m,504,31 Seats available,2.9,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7940,RAJDHANI (A.C. Semi Sleeper),13:10,18:40,05h 30m,611,27 Seats available,3.8,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7926,Super Luxury (Non AC Seater 2+2 Push Back),13:50,21:15,07h 25m,504,31 Seats available,2.5,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 1139,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),14:20,21:20,07h 00m,611,33 Seats available,3.3,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7904,Super Luxury (Non AC Seater 2+2 Push Back),14:40,22:10,07h 30m,504,31 Seats available,3.9,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
TGSRTC - 7902,Super Luxury (Non AC Seater 2+2 Push Back),15:25,21:50,06h 25m,504,30 Seats available,3.5,Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
